bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h=168,portfolio,lightgbm,0.25,101,0.060720639814327945,179.80880350504606,0.05865218523620604,94.56467951948899,
h=168,portfolio,lightgbm,0.5,101,0.07395902626369948,210.7522642048697,0.07036150330229429,85.62312461344489,
h=168,portfolio,lightgbm,0.75,101,0.09441316684098225,255.38865978882595,0.08879345288799731,56.942416570425046,
h=168,portfolio,lightgbm,0.95,101,0.18892128848517176,474.66927180022566,0.16980119256014875,21.89161559367235,
h=168,portfolio,lightgbm_coverage,50%,101,,,,,0.1485148514851485
h=168,portfolio,lightgbm_coverage,90%,101,,,,,0.48514851485148514
h=168,portfolio,persistence,,101,0.05247803195946325,178.3801159134331,0.05235248212668915,,
h=168,portfolio,sarimax,,101,0.16787544406275523,521.902472641122,0.18144888982996948,,
h=168,segment_0,lightgbm,0.05,101,0.11013963301980847,57.79043976375481,0.1092083906669558,15.860170586524543,
h=168,segment_0,lightgbm,0.25,101,0.14199596565824113,61.66215398294163,0.12712621622535736,29.18386337076434,
h=168,segment_0,lightgbm,0.5,101,0.16961562734037788,69.60397589478946,0.14805616062809118,25.30848833897202,
h=168,segment_0,lightgbm,0.75,101,0.2106140422706213,79.87592072614505,0.1796665310428078,16.83738669202271,
h=168,segment_0,lightgbm,0.95,101,0.26580141203256163,92.85915531558199,0.22052467942833112,5.329388243162801,
h=168,segment_0,lightgbm_coverage,50%,101,,,,,0.16831683168316833
h=168,segment_0,lightgbm_coverage,90%,101,,,,,0.4158415841584158
h=168,segment_0,persistence,,101,0.11637969635748062,57.545728641758366,0.11463165025872367,,
h=168,segment_1,lightgbm,0.05,101,0.054436170954170526,50.111225193231384,0.05573405428134075,11.918515561891487,
h=168,segment_1,lightgbm,0.25,101,0.059525115539930264,48.01349476948252,0.057944341779563785,23.087779706321907,
h=168,segment_1,lightgbm,0.5,101,0.08094532909632988,60.61522229241911,0.07673073870345726,25.13257660647789,
h=168,segment_1,lightgbm,0.75,101,0.12861626321830866,92.26506545203283,0.11827799884258099,20.273735382484382,
h=168,segment_1,lightgbm,0.95,101,0.26199695545606133,179.79737099975716,0.22642011857241404,8.189457932202611,
h=168,segment_1,lightgbm_coverage,50%,101,,,,,0.297029702970297
