issue_time,level,quantile,iterations_used,n_train,n_valid,n_train_full,refit_full
2022-02-07,portfolio,0.25,284,8039,720,8759,True
2022-02-07,portfolio,0.5,545,8039,720,8759,True
2022-02-07,portfolio,0.75,642,8039,720,8759,True
2022-02-07,portfolio,0.95,97,8039,720,8759,True
2022-02-14,portfolio,0.05,257,8039,720,8759,True
2022-02-14,portfolio,0.25,189,8039,720,8759,True
2022-02-14,portfolio,0.5,705,8039,720,8759,True
2022-02-14,portfolio,0.75,1193,8039,720,8759,True
2022-02-14,portfolio,0.95,136,8039,720,8759,True
2022-02-21,portfolio,0.05,117,8039,720,8759,True
2022-02-21,portfolio,0.25,156,8039,720,8759,True
2022-02-21,portfolio,0.5,295,8039,720,8759,True
2022-02-21,portfolio,0.75,2500,8039,720,8759,True
2022-02-21,portfolio,0.95,142,8039,720,8759,True
2022-02-28,portfolio,0.05,95,8039,720,8759,True
2022-02-28,portfolio,0.25,96,8039,720,8759,True
2022-02-28,portfolio,0.5,103,8039,720,8759,True
2022-02-28,portfolio,0.75,1236,8039,720,8759,True
2022-02-28,portfolio,0.95,614,8039,720,8759,True
2022-03-07,portfolio,0.05,91,8039,720,8759,True
2022-03-07,portfolio,0.25,110,8039,720,8759,True
2022-03-07,portfolio,0.5,180,8039,720,8759,True
2022-03-07,portfolio,0.75,1847,8039,720,8759,True
2022-03-07,portfolio,0.95,316,8039,720,8759,True
2022-03-14,portfolio,0.05,142,8039,720,8759,True
2022-03-14,portfolio,0.25,137,8039,720,8759,True
2022-03-14,portfolio,0.5,283,8039,720,8759,True
2022-03-14,portfolio,0.75,1284,8039,720,8759,True
2022-03-14,portfolio,0.95,226,8039,720,8759,True
2022-03-21,portfolio,0.05,129,8039,720,8759,True
2022-03-21,portfolio,0.25,126,8039,720,8759,True
2022-03-21,portfolio,0.5,116,8039,720,8759,True
2022-03-21,portfolio,0.75,2388,8039,720,8759,True
2022-03-21,portfolio,0.95,714,8039,720,8759,True
2022-03-28,portfolio,0.05,127,8039,720,8759,True
2022-03-28,portfolio,0.25,125,8039,720,8759,True
2022-03-28,portfolio,0.5,163,8039,720,8759,True
2022-03-28,portfolio,0.75,505,8039,720,8759,True
2022-03-28,portfolio,0.95,892,8039,720,8759,True
2022-04-04,portfolio,0.05,113,8039,720,8759,True
2022-04-04,portfolio,0.25,240,8039,720,8759,True
2022-04-04,portfolio,0.5,237,8039,720,8759,True
2022-04-04,portfolio,0.75,975,8039,720,8759,True
2022-04-04,portfolio,0.95,793,8039,720,8759,True
2022-04-11,portfolio,0.05,121,8039,720,8759,True
2022-04-11,portfolio,0.25,252,8039,720,8759,True
2022-04-11,portfolio,0.5,503,8039,720,8759,True
2022-04-11,portfolio,0.75,2485,8039,720,8759,True
2022-04-11,portfolio,0.95,2500,8039,720,8759,True
2022-04-18,portfolio,0.05,65,8039,720,8759,True
2022-04-18,portfolio,0.25,298,8039,720,8759,True
2022-04-18,portfolio,0.5,350,8039,720,8759,True
2022-04-18,portfolio,0.75,1082,8039,720,8759,True
2022-04-18,portfolio,0.95,796,8039,720,8759,True
2022-04-25,portfolio,0.05,91,8039,720,8759,True
2022-04-25,portfolio,0.25,476,8039,720,8759,True
2022-04-25,portfolio,0.5,1152,8039,720,8759,True
2022-04-25,portfolio,0.75,481,8039,720,8759,True
2022-04-25,portfolio,0.95,322,8039,720,8759,True
2022-05-02,portfolio,0.05,60,8039,720,8759,True
2022-05-02,portfolio,0.25,180,8039,720,8759,True
2022-05-02,portfolio,0.5,2032,8039,720,8759,True
